level,component_reference,component_name,component_quantity,parent_bom_reference,parent_bom_name,has_child_bom
0,M00657,PRO-M [M0 Use],1.00,,,True
1,M00342,PRO-M - Main Box 1/4,1.00,M00657,PRO-M [M0 Use],True
2,M00298,PRO - Control Unit,1.00,M00342,PRO-M - Main Box 1/4,True
3,M00218,CNC Evo/Pro - Steel Parts - Control Unit Base,1.00,M00298,PRO - Control Unit,False
3,M00219,CNC Evo/Pro - Steel Parts - Control Unit Cover,1.00,M00298,PRO - Control Unit,False
3,M00367,CNC USB Controller Mk3/4,1.00,M00298,PRO - Control Unit,False
3,M00368,CNC USB Controller license,1.00,M00298,PRO - Control Unit,False
3,M00712,Optocoupler 4 channels,1.00,M00298,PRO - Control Unit,False
3,M00663,MicroSD 32GB Samsung Evo+,1.00,M00298,PRO - Control Unit,False
3,M00751,SMPS 600W 48V 12.5A (CNC Pro),1.00,M00298,PRO - Control Unit,False
3,M00931,SMPS 60W 24V 2.8A (CNC Pro/Fab),1.00,M00298,PRO - Control Unit,False
3,M00853,USB-C 24V to 5V 3A converter,1.00,M00298,PRO - Control Unit,False
3,M00502,"Ethernet RJ45 female 50cm, panel mount",1.00,M00298,PRO - Control Unit,False
3,M00542,HDMI (female) panel mount to micro HDMI (male),1.00,M00298,PRO - Control Unit,False
3,M00619,PRO/FAB - Limit Switches PCB Assembly,1.00,M00298,PRO - Control Unit,True
4,M00714,PCB Custom for CNC Limit Switches,1.00,M00619,PRO/FAB - Limit Switches PCB Assembly,False
4,M00841,"ALL - Tapped XLR 3 pole female panel, vertical PCB",6.00,M00619,PRO/FAB - Limit Switches PCB Assembly,True
5,M00917,"XLR 3 pole female panel, vertical PCB",6.00,M00841,"ALL - Tapped XLR 3 pole female panel, vertical PCB",False
4,M00790,Screw 2 Way PCB Terminal Block 5mm Pitch,1.00,M00619,PRO/FAB - Limit Switches PCB Assembly,False
4,M00791,Screwless 4 Way PCB Terminal Block 3.5mm Pitch,1.00,M00619,PRO/FAB - Limit Switches PCB Assembly,False
3,M00536,"GX12 male 2 pins aux 45cm, panel mount (Emergency Button)",1.00,M00298,PRO - Control Unit,False
3,M00852,"USB-A male to A female panel mount, 30cm",3.00,M00298,PRO - Control Unit,False
3,M00073,"Axial Fan 24V 60x60mm, panel mount",1.00,M00298,PRO - Control Unit,False
3,M00514,Fan cover 60mm,1.00,M00298,PRO - Control Unit,False
3,M00865,Wago 3 connectors,7.00,M00298,PRO - Control Unit,False
3,M00866,Wago 5 connectors,4.00,M00298,PRO - Control Unit,False
3,M01071,Rubber foot M4 - Flat with Rivet,4.00,M00298,PRO - Control Unit,False
3,M00837,TFHC M4x35 Black screw,4.00,M00298,PRO - Control Unit,False
3,M01715,ISO 7380 M3x4 Black Screw,40.00,M00298,PRO - Control Unit,False
3,M00550,Hex spacer M3x16 male/female,2.00,M00298,PRO - Control Unit,False
3,M00552,Hex spacer M3x30 female/female,2.00,M00298,PRO - Control Unit,False
3,M00553,Hex spacer M3x8 female/female,8.00,M00298,PRO - Control Unit,False
3,M01693,ISO 7380 M3x10 Black Screw,12.00,M00298,PRO - Control Unit,False
3,M00984,Female Banana Socket - Tab Termination,1.00,M00298,PRO - Control Unit,False
3,M01077,"GX12 male 3 pins aux 45cm, panel mount (Probe)",1.00,M00298,PRO - Control Unit,False
3,M01702,Nut DIN934 M4,10.00,M00298,PRO - Control Unit,False
3,M00739,Raspberry Pi 4B 2G,1.00,M00298,PRO - Control Unit,False
